etID  | Proto-Indo-European | Proto-Balkan-Indo-European | Archaic Proto-Albanian | Classical Proto-Albanian | Middle Proto-Albanian I | Middle Proto-Albanian II | Late Proto-Albanian I | Late Proto-Albanian II | Late Proto-Albanian III | Proto-Tosk-SGheg {GOLD} | Proto-Tosk | Old North Tosk | Standard Albanian | Output {GOLD}
157    | ... | ... | ... | ... | ... | ... | ... | ... | #ʝˌɛzdˈitɪ# | *#ɟˌɛzdˈit# {GOLD: >*} | *#ɟˌɛzdˈit# | *#ɟəzdˈit# | *#ɟəzdˈit# | *#ɟəzdˈit# {GOLD: #ɟɛzdˈit#}
158    | ... | ... | ... | ... | ... | ... | ... | ... | #ɡlˌɒ̃bɒt͡ʃˈɑrɪ# | *#ɡʎˌãbat͡ʃˈaːr# {GOLD: >*} | *#ɡʎˌə̃bat͡ʃˈaːɾ# | *#ɟˌəbət͡ʃˈaɾ# | *#ɟəbət͡ʃˈaɾ# | *#ɟəbət͡ʃˈaɾ# {GOLD: #ɟɔmbɔt͡ʃˈaɾ#}
159    | ... | ... | ... | ... | ... | ... | ... | ... | #ɡlˈɒbɑ# | *#ɡʎˈabə# {GOLD: >*} | *#ɡʎˈabə# | *#ɟˈabə# | *#ɟˈabə# | *#ɟˈabə# {GOLD: #ɟˈɔbə#}
160    | ... | ... | ... | ... | ... | ... | ... | ... | #ɲˌuxˈɑtɪ# | *#ɲˌuxˈat# {GOLD: >*} | *#ɲˌuhˈat# | *#ɲəhˈat# | *#ɲəhˈat# | *#ɲəhˈat# {GOLD: #ɲuhˈat#}
161    | ... | ... | ... | ... | ... | ... | ... | ... | #t͡ʃˈɑsʊ# | *#t͡ʃˈa# {GOLD: >*} | *#t͡ʃˈa# | *#t͡ʃˈa# | *#t͡ʃˈa# | *#t͡ʃˈa# {GOLD: #t͡ʃˈas#}
162    | ... | ... | ... | ... | ... | ... | ... | ... | #t͡ʃˈɑβʊkɑ# | *#t͡ʃˈaːvkə# {GOLD: >*} | *#t͡ʃˈaːvkə# | *#t͡ʃˈavkə# | *#t͡ʃˈavkə# | *#t͡ʃˈavkə# {GOLD: #t͡ʃˈafkə#}
163    | ... | ... | ... | ... | ... | ... | ... | ... | #t͡ʃˈɑmɪ# | *#t͡ʃˈa# {GOLD: >*} | *#t͡ʃˈa# | *#t͡ʃˈa# | *#t͡ʃˈa# | *#t͡ʃˈa# {GOLD: #t͡ʃˈam#}
164    | ... | ... | ... | ... | ... | ... | #t͡ʃˌɛrɛnˈɑwɑ# | *#?2ˌɛrɛnˈɑwɑ# | *#?2ˌɛrɛnˈɑwɑ# | *#?2ˌɛrɛ̃nˈawə# {GOLD: >*} | *#?2ˌɛɾɛ̃ɾˈawə# | *#?2ˌɛɾəɾˈawə# | *#?2ɛɾəɾˈawə# | *#?2ɛɾəɾˈawə# {GOLD: #t͡ʃərˈavə#}
165    | ... | ... | ... | ... | ... | ... | ... | ... | #t͡ʃˌɛtˈinɑ# | *#t͡ʃˌɛtˈĩːnə# {GOLD: >*} | *#t͡ʃˌɛtˈĩːɾə# | *#t͡ʃətˈiɾə# | *#t͡ʃətˈiɾə# | *#t͡ʃətˈiɾə# {GOLD: #t͡ʃɛtˈinə#}
166    | ... | ... | ... | ... | ... | ... | ... | ... | #t͡ʃˌælˈitɪ# | *#t͡ʃˌɛlˈit# {GOLD: >*} | *#t͡ʃˌɛlˈit# | *#t͡ʃəlˈit# | *#t͡ʃəlˈit# | *#t͡ʃəlˈit# {GOLD: #t͡ʃɛlˈit#}
167    | ... | ... | ... | ... | ... | ... | ... | ... | #t͡ʃˌælɪnˈikʊ# | *#t͡ʃˌɛlnˈik# {GOLD: >*} | *#t͡ʃˌɛlnˈik# | *#t͡ʃəlnˈik# | *#t͡ʃəlnˈik# | *#t͡ʃəlnˈik# {GOLD: #t͡ʃɛlnˈik#}
168    | ... | ... | ... | ... | ... | ... | ... | ... | #t͡ʃˈɛtɑ# | *#t͡ʃˈɛtə# {GOLD: >*} | *#t͡ʃˈɛtə# | *#t͡ʃˈɛtə# | *#t͡ʃˈɛtə# | *#t͡ʃˈɛtə# {GOLD: #t͡ʃˈɛtə#}
169    | ... | ... | ... | ... | ... | ... | ... | ... | #t͡ʃˈælɒ# | *#t͡ʃˈɛːlə# {GOLD: >*} | *#t͡ʃˈɛːlə# | *#t͡ʃˈɛlə# | *#t͡ʃˈɛlə# | *#t͡ʃˈɛlə# {GOLD: #t͡ʃˈɛlə#}
170    | ... | ... | ... | ... | ... | ... | #t͡ʃˈɛrdɑ# | *#?2ˈɛrdɑ# | *#?2ˈɛrdɑ# | *#?2ˈɛːrdə# {GOLD: >*} | *#?2ˈɛːɾdə# | *#?2ˈɛɾdə# | *#?2ˈɛɾdə# | *#?2ˈɛɾdə# {GOLD: #t͡ʃˈɛɾðə#}
171    | ... | ... | ... | ... | ... | ... | #t͡ʃˈɪrnʊ# | *#?2ˈɪrnʊ# | *#?2ˈɪrnʊ# | *#?2ˈɪːrn# {GOLD: >*} | *#?2ˈɪːɾn# | *#?2ˈɪɾn# | *#?2ˈɪɾn# | *#?2ˈɪɾn# {GOLD: #t͡ʃˈɛr#}
172    | ... | ... | ... | ... | ... | ... | ... | ... | #t͡ʃˌɒrnɒβˈɒdɑ# | *#t͡ʃˌarnavˈadə# {GOLD: >*} | *#t͡ʃˌaravˈadə# | *#t͡ʃˌarəvˈadə# | *#t͡ʃarəvˈadə# | *#t͡ʃarəvˈadə# {GOLD: #t͡ʃɔɾɔvˈɔdə#}
173    | ... | ... | ... | ... | ... | ... | ... | ... | #t͡ʃˌudˈitɪ# | *#t͡ʃˌudˈit# {GOLD: >*} | *#t͡ʃˌudˈit# | *#t͡ʃədˈit# | *#t͡ʃədˈit# | *#t͡ʃədˈit# {GOLD: #t͡ʃudˈit#}
174    | ... | ... | ... | ... | ... | ... | ... | ... | #t͡ʃˈukɑ# | *#t͡ʃˈukə# {GOLD: >*} | *#t͡ʃˈukə# | *#t͡ʃˈukə# | *#t͡ʃˈukə# | *#t͡ʃˈukə# {GOLD: #t͡ʃˈukə#}
175    | ... | ... | ... | ... | ... | ... | ... | ... | #t͡ʃˈulɑ# | *#t͡ʃˈuːlə# {GOLD: >*} | *#t͡ʃˈuːlə# | *#t͡ʃˈulə# | *#t͡ʃˈulə# | *#t͡ʃˈulə# {GOLD: #t͡ʃˈulˠə#}
176    | ... | ... | ... | ... | ... | ... | ... | ... | #t͡ʃˈudɒ# | *#t͡ʃˈudə# {GOLD: >*} | *#t͡ʃˈudə# | *#t͡ʃˈudə# | *#t͡ʃˈudə# | *#t͡ʃˈudə# {GOLD: #t͡ʃˈudə#}
177    | ... | ... | ... | ... | ... | ... | ... | ... | #t͡ʃˈubɑ# | *#t͡ʃˈubə# {GOLD: >*} | *#t͡ʃˈubə# | *#t͡ʃˈubə# | *#t͡ʃˈubə# | *#t͡ʃˈubə# {GOLD: #t͡ʃˈubə#}
178    | ... | ... | ... | ... | ... | ... | ... | ... | #ʃˌɑtˈʊrjɑ# | *#ʃˌatˈɔːʷrɛ# {GOLD: >*} | *#ʃˌatˈɔːʷɾɛ# | *#ʃətˈʊɾɛ# | *#ʃətˈʊɾɛ# | *#ʃətˈʊɾɛ# {GOLD: #ʃatˈɔrɛ#}
179    | ... | ... | ... | ... | ... | ... | #sˈɑkɑ# | *#ʃˈɑkɑ# | *#ʃˈɑkɑ# | *#ʃˈakə# {GOLD: >*} | *#ʃˈakə# | *#ʃˈakə# | *#ʃˈakə# | *#ʃˈakə# {GOLD: #ʃˈakə#}
180    | ... | ... | ... | ... | ... | ... | #sˈɒrɑ# | *#ʃˈɒrɑ# | *#ʃˈɒrɑ# | *#ʃˈaːrə# {GOLD: >*} | *#ʃˈaːɾə# | *#ʃˈaɾə# | *#ʃˈaɾə# | *#ʃˈaɾə# {GOLD: #ʃˈaɾə#}
