etID  | Classical Proto-Albanian | Middle Proto-Albanian I | Middle Proto-Albanian II | Late Proto-Albanian I | Late Proto-Albanian II | Late Proto-Albanian III | Proto-Tosk-SGheg {GOLD} | Proto-Tosk {GOLD} | Old North Tosk {GOLD} | Standard Albanian | Output {GOLD}
49     | ... | ... | ... | ... | *#ˌaβlamˈendu# | *#ˌaβlamˈendu# | *#hˌavlãmˈẽːnd# {GOLD: >*} | *#hˌavlə̃mˈẽːnd# {GOLD: >*} | *#hˌavləmˈend# {GOLD: >*} | *#havləmˈend# | *#havləmˈen# {GOLD: #avləmˈɛnd#}
50     | #ˌɑwɡˈustum# | *#ˌɑwɡˈustu# | *#ˌɑwɡˈustu# | *#ɡˈustu# | *#ɡˈuʃtu# | *#ɡˈuʃtu# | *#ɡˈuːʃt# {GOLD: >*} | *#ɡˈuːʃt# {GOLD: >*} | *#ɡˈuʃt# {GOLD: >*} | *#ɡˈut͡ʃt# | *#ɡˈut͡ʃt# {GOLD: #ɡˈuʃt#}
51     | #ˌɑwreˈolum# | *#ˌɑwrjˈolːu# | *#ˌɑwrjˈolːu# | *#rjˈuo̯lːu# | *#rjˈuo̯lːu# | *#rjˈuo̯lːu# | *#rjˈuo̯lː# {GOLD: >*} | *#ɾjˈua̯lˠ# {GOLD: >*} | *#ɾjˈua̯lˠ# {GOLD: >*} | *#ɾjˈua̯lˠ# | *#ɾjˈua̯lˠ# {GOLD: #rˈye̯lˠ#}
52     | #ˈɑwrum# | *#ˈɑwru# | *#ˈɑwru# | *#ˈɑru# | *#ˈɑru# | *#ˈɑru# | *#hˈaːr# {GOLD: #ˈaːɾ#} | *#hˈaːɾ# {GOLD: #ˈaːɾ#} | *#hˈaɾ# {GOLD: >*} | *#hˈaɾ# | *#hˈaɾ# {GOLD: #ˈaɾ#}
53     | #ˌɑwˈunkulum# | *#ˌɑˈunkəlːu# | *#ˌɑˈunklːu# | *#ˈunklːu# | *#ˈunɡlːu# | *#ˈunɡlːu# | *#hˈũːnɡlː# {GOLD: #ˈũŋkl̩#} | *#hˈũːnɡlˠ# {GOLD: >*} | *#hˈunɡlˠ# {GOLD: >*} | *#hˈunɡlˠ# | *#hˈunɡlˠ# {GOLD: #ˈuɲɟ#}
54     | #bˈɑlsɑmum# | *#bˈɑlsəmu# | *#bˈɑlsmu# | *#bˈɑlsmu# | *#bˈɑlʃmu# | *#bˈɑlʃmu# | *#bˈaːlʒmb# {GOLD: #bˈalʃm̩#} | *#bˈaːlʒmb# {GOLD: >*} | *#bˈalʒmb# {GOLD: >*} | *#bˈalʒmb# | *#bˈalʒmb# {GOLD: #bˈalt͡ʃəm#}
55     | #bˈɑlneɑ# | *#bˈɑljɑ# | *#bˈɑljɑ# | *#bˈɛljɑ# | *#bˈɛljɑ# | *#bˈɛljɑ# | *#bˈɛːlɛ# {GOLD: >*} | *#bˈɛːlɛ# {GOLD: >*} | *#bˈɛlɛ# {GOLD: >*} | *#bˈɛlɛ# | *#bˈɛlɛ# {GOLD: #bˈaɲə#}
56     | #bˌɑrˈɑtʰrum# | *#bˌɑrˈɑtʰru# | *#bˌɑrˈɑtru# | *#bərˈɑtru# | *#bərˈɑtru# | *#bərˈɑtru# | *#bərˈatr# {GOLD: >*} | *#bəɾˈatɾ# {GOLD: >*} | *#bəɾˈatɾ# {GOLD: >*} | *#bəɾˈatɾ# | *#bəɾˈatɾ# {GOLD: #balˈadəɾ#}
57     | #bˈɑrkɑm# | *#bˈɑrkɑ# | *#bˈɑrkɑ# | *#bˈɑrkɑ# | *#bˈɑrkɑ# | *#bˈɑrkɑ# | *#bˈaːrkə# {GOLD: >*} | *#bˈaːɾkə# {GOLD: >*} | *#bˈaɾkə# {GOLD: >*} | *#bˈaɾkə# | *#bˈaɾkə# {GOLD: #bˈaɾkə#}
58     | #bˌɑrˈoːnem# | *#bˌɑrˈoːne# | *#bˌɑrˈonɛ# | *#bərˈye̯nɛ# | *#bərˈye̯nɛ# | *#bərˈye̯nɛ# | *#bərˈye̯n# {GOLD: #bəɾˈuo̯#} | *#bəɾˈye̯n# {GOLD: ...} | ... {GOLD: ...} | ... | ... {GOLD: ...}
59     | #bˌɑttuˈɑːliɑm# | *#bˌɑttwˈɑːʎɑ# | *#bˌɑttwˈɑʎɑ# | *#bəttwˈɛʎɑ# | *#bəttwˈɛʎɑ# | *#bəttwˈɛʎɑ# | *#bəttvˈɛːʎə# {GOLD: >*} | *#bəttvˈɛːʎə# {GOLD: >*} | *#bəttvˈɛjə# {GOLD: >*} | *#bəttvˈɛjə# | *#bəttvˈɛjə# {GOLD: #bɛtˈɛjə#}
60     | #bˌɑttuˈɑːliɑm# | *#bˌɑttwˈɑːʎɑ# | *#bˌɑttwˈɑʎɑ# | *#bəttwˈɛʎɑ# | *#bəttwˈɛʎɑ# | *#bəttwˈɛʎɑ# | *#bəttvˈɛːʎə# {GOLD: #bətˈaʎə#} | *#bəttvˈɛːʎə# {GOLD: >*} | *#bəttvˈɛjə# {GOLD: >*} | *#bəttvˈɛjə# | *#bəttvˈɛjə# {GOLD: #bətˈajə#}
61     | #bˌenediːkˈonioː# | *#bˌenediːkˈoɲoː# | *#bˌɛnɛikˈoɲø# | *#bənəəkˈɔɲɛ# | *#bənəəkˈɔɲɛ# | *#bənəəkˈɔɲɛ# | *#bə̃nəəkˈɔ̃ːɲ# {GOLD: #b̩ndəkˈɔ̃ɲ#} | *#bə̃ɾəəkˈɔ̃ːɲ# {GOLD: #bˌn̩kˈɔ̃ɲ#} | *#bəɾəəkˈɔɲ# {GOLD: >*} | *#bəɾəəkˈɔɲ# | *#bəɾəəkˈɔɲ# {GOLD: #bənkˈɔj#}
