etID  | Proto-Indo-European | Proto-Balkan-Indo-European | Archaic Proto-Albanian | Classical Proto-Albanian | Middle Proto-Albanian I | Middle Proto-Albanian II | Late Proto-Albanian I | Late Proto-Albanian II | Late Proto-Albanian III | Proto-Tosk-SGheg {GOLD} | Proto-Tosk {GOLD} | Old North Tosk {GOLD} | Standard Albanian | Output {GOLD}
551    | ... | ... | ... | ... | ... | *#sˌɑnktunˌekˈolɑo# | *#sənktənkˈɔlɑɔ# | *#ʃənftənɡˈɔlɑɔ# | *#ʃənftənɡˈɔlɑɔ# | *#ʃə̃ftə̃nɡˈɔːlə# {GOLD: >*} | *#ʃə̃ftə̃nɡˈɔːlə# {GOLD: >*} | *#ʃəftənɡˈɔlə# {GOLD: >*} | *#ʃəftənɡˈɔlə# | *#ʃəftənɡˈɔlə# {GOLD: #ʃənkˈɔlˠ#}
552    | ... | ... | ... | ... | ... | *#sˌɑnktɑtrinˌetˈɑtɛ# | *#sənktətrəntˈɛtɛ# | *#ʃənftətrəndˈɛtɛ# | *#ʃənftətrəndˈɛtɛ# | *#ʃə̃ftətrə̃ndˈɛt# {GOLD: #ʃˌɛntətəɾˌitˈæt#} | *#ʃə̃ftətɾə̃ndˈɛt# {GOLD: >*} | *#ʃəftətɾəndˈɛt# {GOLD: >*} | *#ʃəftətɾəndˈɛt# | *#ʃəftətɾənˈɛt# {GOLD: #ʃəndəɾtˈɛt#}
553    | ... | ... | ... | ... | *#sˌɑːnitˈɑːte# | *#sˌɑnetˈɑtɛ# | *#səntˈɛtɛ# | *#ʃəndˈɛtɛ# | *#ʃəndˈɛtɛ# | *#ʃə̃ndˈɛt# {GOLD: >*} | *#ʃə̃ndˈɛt# {GOLD: >*} | *#ʃəndˈɛt# {GOLD: >*} | *#ʃəndˈɛt# | *#ʃənˈɛt# {GOLD: #ʃəndˈɛt#}
554    | ... | ... | ... | ... | ... | ... | *#səntˈɔsu# | *#ʃəndˈɔʃu# | *#ʃəndˈɔʃu# | *#ʃə̃ndˈɔːʃ# {GOLD: #ʃəntˈɔʃ#} | *#ʃə̃ndˈɔːʃ# {GOLD: >*} | *#ʃəndˈɔʃ# {GOLD: >*} | *#ʃəndˈɔʃ# | *#ʃənˈɔʃ# {GOLD: #ʃəndˈɔʃ#}
555    | ... | ... | ... | ... | ... | *#sˌɑnktuˌɑndrˈeɑ# | *#sənktəəndrˈɛɑ# | *#ʃənftəəndrˈɛɑ# | *#ʃənftəəndrˈɛɑ# | *#ʃə̃ftəə̃ndrˈɛː# {GOLD: >*} | *#ʃə̃ftəə̃ndɾˈɛː# {GOLD: >*} | *#ʃəftəəndɾˈɛ# {GOLD: >*} | *#ʃəftəəndɾˈɛ# | *#ʃəftəənɾˈɛ# {GOLD: #ʃəndɾˈɛ#}
556    | ... | ... | ... | ... | *#sˌɑlbˈɑːntjɑ# | *#sˌɑlbˈɑntjɑ# | *#səlbˈɛntjɑ# | *#ʃəlbˈɛn?1̬ɑ# | *#ʃəlbˈɛn?1̬ɑ# | *#ʃəlbˈɛ̃ːn?1̬ə# {GOLD: >*} | *#ʃəlbˈɛ̃ːn?1̬ə# {GOLD: >*} | *#ʃəlbˈɛn?1̬ə# {GOLD: >*} | *#ʃəlbˈɛn?1̬ə# | *#ʃəlbˈɛn?1̬ə# {GOLD: #ʃəlbˈɛsə#}
557    | ... | ... | ... | ... | *#sˌɑlbˈɑːɲoː# | *#sˌɑlbˈɑɲø# | *#səlbˈɑɲɛ# | *#ʃəlbˈɑɲɛ# | *#ʃəlbˈɑɲɛ# | *#ʃəlbˈãːɲ# {GOLD: >*} | *#ʃəlbˈəːɲ# {GOLD: >*} | *#ʃəlbˈəɲ# {GOLD: >*} | *#ʃəlbˈəɲ# | *#ʃəlbˈəɲ# {GOLD: #ʃəlbˈɔj#}
558    | ... | ... | ... | *#sˌyːrˈiːttiːoː# | *#sˌiːrˈiːttjoː# | *#sˌirˈittjø# | *#sərˈittjɛ# | *#ʃərˈit?1ɛ# | *#ʃərˈit?1ɛ# | *#ʃərˈit?1# {GOLD: >*} | *#ʃəɾˈit?1# {GOLD: >*} | *#ʃəɾˈit?1# {GOLD: >*} | *#ʃəɾˈit?1# | *#ʃəɾˈit?1# {GOLD: #ʃəɾˈis#}
559    | ... | ... | ... | ... | *#sˌɑːnˈɑːɲoː# | *#sˌɑnˈɑɲø# | *#sənˈɑɲɛ# | *#ʃənˈɑɲɛ# | *#ʃənˈɑɲɛ# | *#ʃə̃nˈãːɲ# {GOLD: >*} | *#ʃə̃ɾˈəːɲ# {GOLD: >*} | *#ʃəɾˈəɲ# {GOLD: >*} | *#ʃəɾˈəɲ# | *#ʃəɾˈəɲ# {GOLD: #ʃəɾˈɔj#}
560    | ... | ... | ... | ... | *#sˌerbiːtˈuːrɑ# | *#sˌɛrbitˈyrɑ# | *#sərbətˈyrɑ# | *#ʃərbətˈyrɑ# | *#ʃərbətˈyrɑ# | *#ʃərbətˈyːrə# {GOLD: #ʃɾ̩bətˈyɾə#} | *#ʃəɾbətˈyːɾə# {GOLD: >*} | *#ʃəɾbətˈyɾə# {GOLD: >*} | *#ʃəɾbətˈyɾə# | *#ʃəɾbətˈyɾə# {GOLD: #ʃəɾbətˈyɾə#}
