etID  | Classical Proto-Albanian | Middle Proto-Albanian I | Middle Proto-Albanian II | Late Proto-Albanian I | Late Proto-Albanian II | Late Proto-Albanian III | Proto-Tosk-SGheg {GOLD} | Proto-Tosk {GOLD} | Old North Tosk {GOLD} | Output {GOLD}
46     | #ˌɑspˈɑrɑɡum# | *#ˌɑspˈɑrɑɡʊ# | *#ˌɑspˈɑrɑɡu# | *#spˈaraɡu# | *#ʃpˈaɾɐɡu# | *#ʃpˈaːɾɐɡ# | *#ʃpˈaːɾəɡ# {GOLD: >*} | *#ʃpˈaːɾəɡ# {GOLD: >*} | *#ʃpˈaɾəɡ# {GOLD: >*} | *#ʃpˈaɾɡ# {GOLD: #ʃpˈaɾɡ#}
47     | #ˈɑsper# | *#ˈɑspɛr# | *#ˈɑspɛr# | *#ˈaspɪr# | *#ˈaʃpɪɾ# | *#ˈaːʃpəɾ# | *#ˈaːʃpɾ̩# {GOLD: >*} | *#ˈaːʃpɾ̩# {GOLD: >*} | *#ˈaʃpɾ̩# {GOLD: >*} | *#ˈaʃpəɾ# {GOLD: #ˈaʃpəɾ#}
48     | #ˌɑːwˈentum# | *#ˌɑːwˈɛntʊ# | *#ˌɑvˈɛntu# | *#vˈɛntu# | *#vˈɛ̃ntu# | *#vˈɛ̃nd# | *#vˈɛ̃nd# {GOLD: #vˈɛ̃nt#} | *#vˈɛ̃nd# {GOLD: >*} | *#vˈɛnd# {GOLD: >*} | *#vˈɛnd# {GOLD: #vˈɛnd#}
49     | ... | ... | ... | ... | *#ˌaβlə̃mˈẽntu# | *#ˌavlə̃mˈɛ̃nd# | *#ˌavlə̃mˈɛ̃nd# {GOLD: >*} | *#ˌavləmˈɛ̃nd# {GOLD: >*} | *#ˌavləmˈɛnd# {GOLD: >*} | *#avləmˈɛnd# {GOLD: #avləmˈɛnd#}
50     | #ˌɑwɡˈustum# | *#ˌɑwɡˈʊstʊ# | *#ˌɑwɡˈustu# | *#ɡˈustu# | *#ɡˈuʃtu# | *#ɡˈuːʃt# | *#ɡˈuːʃt# {GOLD: >*} | *#ɡˈuːʃt# {GOLD: >*} | *#ɡˈuʃt# {GOLD: >*} | *#ɡˈuʃt# {GOLD: #ɡˈuʃt#}
51     | #ˌɑwreˈolum# | *#ˌɑwrjˈɒlʊ# | *#ˌɑwrjˈolu# | *#rːˈølu# | *#rːˈœlu# | *#rːˈye̯lˠ# | *#rˈye̯lˠ# {GOLD: >*} | *#rˈye̯lˠ# {GOLD: >*} | *#rˈye̯lˠ# {GOLD: >*} | *#rˈye̯lˠ# {GOLD: #rˈye̯lˠ#}
52     | #ˈɑwrum# | *#ˈɑwrʊ# | *#ˈɑwru# | *#ˈaːru# | *#ˈaːɾu# | *#ˈaːɾ# | *#ˈaːɾ# {GOLD: #ˈaːɾ#} | *#ˈaːɾ# {GOLD: #ˈaːɾ#} | *#ˈaɾ# {GOLD: >*} | *#ˈaɾ# {GOLD: #ˈaɾ#}
53     | #ˌɑwˈunkulum# | *#ˌɑwˈʊnkʊlʊ# | *#ˌɑwˈunkulu# | *#wˈunkulu# | *#wˈũnkulu# | *#ˈũnɡulˠ# | *#ˈũŋɡl̩# {GOLD: #ˈũŋkl̩#} | *#ˈũŋɡl̩# {GOLD: >*} | *#ˈuŋɟ# {GOLD: >*} | *#ˈuɲɟ# {GOLD: #ˈuɲɟ#}
54     | #bˈɑlsɑmum# | *#bˈɑlsɑmʊ# | *#bˈɑlsɑmu# | *#bˈalsamu# | *#bˈalʃɐmu# | *#bˈaːlʃɐm# | *#bˈaːlʃm̩# {GOLD: #bˈalʃm̩#} | *#bˈaːlt͡ʃm̩# {GOLD: >*} | *#bˈalt͡ʃm̩# {GOLD: >*} | *#bˈalt͡ʃəm# {GOLD: #bˈalt͡ʃəm#}
55     | #bˈɑlneɑ# | *#bˈɑlnjɑ# | *#bˈɑlɲɑ# | *#bˈalɲa# | *#bˈaɲa# | *#bˈaɲə# | *#bˈaɲə# {GOLD: >*} | *#bˈaɲə# {GOLD: >*} | *#bˈaɲə# {GOLD: >*} | *#bˈaɲə# {GOLD: #bˈaɲə#}
